Team,Item Name, Sales Value , Qty 
Azord,Aresil N/S Spray 120MS," 20,723 "," 6,077 "
Azord,Azord - Xevaneer 300 Mg Caps 10," 17,787 "," 1,363 "
Azord,Azord - Xevaneer Susp 40 Ml," 2,481 ", 372 
Azord,Azord - Xevaneer Susp 80 ML," 9,154 ", 759 
Azord,Motrinex 10 Mg Tabs 30," 9,121 ", 858 
Azord,," 59,265 ",
Cardio 1,Glunorm 50 Mg Tabs 60," 2,352 ", 229 
Cardio 1,Glunorm M 50 / 1000 Mg Tabs 60," 28,422 "," 2,639 "
Cardio 1,Glunorm M 50 / 850 Mg Tabs 60," 10,113 ", 939 
Cardio 1,Rozitta - Robust 10 Mg Tabs 30," 8,536 "," 1,209 "
Cardio 1,Rozitta - Robust 20 Mg Tabs 30," 10,546 "," 1,134 "
Cardio 1,Rozitta - Robust 40 Mg Tabs 30," 3,172 ", 208 
Cardio 1,," 63,141 ",
Cardio 2,Angiosar - Plus 160/10/12.5 Mg Tabs 30," 2,018 ", 238 
Cardio 2,Angiosar - Plus 160/5/12.5 Mg Tabs 30," 3,663 ", 432 
Cardio 2,Angiosar - Plus 160/5/25 Mg Tabs 30, 551 , 65 
Cardio 2,Angiosar - Plus 320/10/25 Mg Tabs 30, 348 , 41 
Cardio 2,Angiosar 160/10 Mg Tabs 30, 854 , 119 
Cardio 2,Angiosar 160/5 Mg Tabs 30," 3,231 ", 450 
Cardio 2,Deplazen 10 Mg Tabs 30," 22,980 "," 1,015 "
Cardio 2,Deplazen 5 Mg Tabs 30," 6,574 ", 476 
Cardio 2,Zarlan - Xivar 10 Mg Tabs 10," 5,190 ", 578 
Cardio 2,Zarlan - Xivar 15 Mg Tabs 28," 7,865 ", 221 
Cardio 2,Zarlan - Xivar 15 Mg Tabs 42, 641 , 12 
Cardio 2,Zarlan - Xivar 2.5 mg Tabs 60," 1,879 ", 109 
Cardio 2,Zarlan - Xivar 20 Mg Tabs 28," 8,328 ", 234 
Cardio 2,," 64,123 ",
Cardio 3,Glenpa 10/5 Mg Tabs 30," 1,958 ", 58 
Cardio 3,Glenpa 25/5 Mg Tabs 30," 2,329 ", 69 
Cardio 3,Nulina 5 mg Film Coated Tablets 30's," 1,057 ", 56 
Cardio 3,Xenpa - Met 12.5/1000 Mg Tabs 60," 1,559 ", 60 
Cardio 3,Xenpa - Met 5/1000 Mg Tabs 30, 467 , 18 
Cardio 3,Xenpa - Met 5/1000 Mg Tabs 60," 1,091 ", 42 
Cardio 3,Xenpa 10 Mg Tabs 30," 1,128 ", 48 
Cardio 3,Xenpa 25 Mg Tabs 30," 1,176 ", 50 
Cardio 3,," 10,766 ",
Clavodar,Clavodar 1 Gm Tabs 10," 37,166 "," 9,433 "
Clavodar,Clavodar 1 Gm Tabs 14," 22,894 "," 4,155 "
Clavodar,Clavodar 228 Mg Susp 70 Ml," 2,383 ", 931 
Clavodar,Clavodar 457 Mg Susp 70 Ml," 15,906 "," 4,894 "
Clavodar,Clavodar 625 20tab," 8,705 "," 2,267 "
Clavodar,Clavodar 625 Mg Tabs 14," 23,702 "," 8,811 "
Clavodar,Clavodar ES Susp 100 Ml," 9,905 "," 1,989 "
Clavodar,Rina 5 Mg Tabs 30," 5,960 "," 1,980 "
Clavodar,Rina Syrup 100 Ml," 1,710 ", 826 
Clavodar,," 128,331 ",
Hairgrow,Hairgrow 2% Solution 50 Ml," 1,618 ", 204 
Hairgrow,Hairgrow 5% Solution 50 Ml," 44,006 "," 4,199 "
Hairgrow,," 45,623 ",
Matador,Matador - Livador 500 Mg Solution 100 Ml," 4,180 ", 306 
Matador,Matador - Livador 500 Mg Tabs 7," 14,876 "," 1,706 "
Matador,Matador - Livador 750 Mg Tabs 7," 7,796 ", 596 
Matador,Oprim 10 Mg Tabs 30, 999 , 81 
Matador,Oprim 5 Mg Tabs 30," 2,120 ", 204 
